ships,dates
Midoriya Izuku/Original Female Character(s),02 Apr 2023
Kaminari Denki/Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic,02 Apr 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro,02 Apr 2023
Shirakumo Oboro/Yamada Hizashi | Present Mic,02 Apr 2023
Shinsou Hitoshi & Original Character(s),02 Apr 2023
Monoma Neito/Shinsou Hitoshi,02 Apr 2023
Kaminari Denki/Monoma Neito,02 Apr 2023
Kaminari Denki/Monoma Neito/Shinsou Hitoshi,02 Apr 2023
Monoma Neito & Toga Himiko,02 Apr 2023
Class 1-A & Shinsou Hitoshi,02 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Midoriya Inko/Yagi Toshinori | All Might,02 Apr 2023
Midoriya Izuku/Todoroki Shouto,02 Apr 2023
background kiribaku - Relationship,02 Apr 2023
Shinsou Hitoshi/Reader,02 Apr 2023
Ushijima Wakatoshi/Reader,02 Apr 2023
Aizawa Shouta | Eraserhead/Reader,02 Apr 2023
Nakahara Chuuya (Bungou Stray Dogs)/Reader,02 Apr 2023
Dazai Osamu (Bungou Stray Dogs)/Reader,02 Apr 2023
Gojo Satoru/Reader,02 Apr 2023
Zhongli (Genshin Impact)/Reader,02 Apr 2023
Yagi Toshinori | All Might/Reader,02 Apr 2023
Tartaglia | Childe (Genshin Impact)/Reader,02 Apr 2023
Terushima Yuuji/Reader,02 Apr 2023
Diluc (Genshin Impact)/Reader,02 Apr 2023
Getou Suguru/Reader,02 Apr 2023
Hinata Shouyou/Reader,02 Apr 2023
Todoroki Enji | Endeavor/Reader,02 Apr 2023
Nakajima Atsushi (Bungou Stray Dogs)/Reader,02 Apr 2023
Thoma/Reader,02 Apr 2023
Kamisato Ayato/Reader,02 Apr 2023
Draken | Ryuuguuji Ken/Reader,02 Apr 2023
Mikey | Sano Manjirou/Reader,02 Apr 2023
Hanma Shuji/Reader,02 Apr 2023
Kirishima Eijirou/Reader,02 Apr 2023
Iwaizumi Hajime/Reader,02 Apr 2023
Arataki Itto/Reader,02 Apr 2023
Itadori Yuuji/Reader,02 Apr 2023
,02 Apr 2023
,02 Apr 2023
,02 Apr 2023
Todoroki Shouto/Reader,02 Apr 2023
Todoroki Shouto/Original Character(s),02 Apr 2023
Todoroki Shouto/Original Female Character(s),02 Apr 2023
Todoroki Enji | Endeavor/Original Character(s),02 Apr 2023
Midoriya Izuku/Uraraka Ochako,02 Apr 2023
Todoroki Shouto/Yaoyorozu Momo,02 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,02 Apr 2023
Jirou Kyouka/Kaminari Denki,02 Apr 2023
Tartaglia | Childe/Zhongli (Genshin Impact),02 Apr 2023
Beidou/Ningguang (Genshin Impact),02 Apr 2023
Raiden Ei | Baal/Yae Miko,02 Apr 2023
Kamisato Ayato/Thoma,02 Apr 2023
Venti/Xiao | Alatus (Genshin Impact),02 Apr 2023
Kaedehara Kazuha/Scaramouche,02 Apr 2023
Midoriya Izuku/Todoroki Shouto,02 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,02 Apr 2023
Shigaraki Tomura | Shimura Tenko & Toga Himiko,02 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,02 Apr 2023
Bakugou Katsuki & Midoriya Izuku,02 Apr 2023
Bakugou Katsuki & Yagi Toshinori | All Might,02 Apr 2023
Jirou Kyouka/Kaminari Denki,02 Apr 2023
Midoriya Izuku/Uraraka Ochako,02 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,02 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,02 Apr 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro,01 Apr 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,01 Apr 2023
Kurusu Akira & Sakura Futaba,01 Apr 2023
Aizawa Shouta | Eraserhead & Kurusu Akira,01 Apr 2023
Bakugou Katsuki/Midoriya Izuku,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Midoriya Izuku/Rody Soul,01 Apr 2023
Bakugou Katsuki/Original Female Character(s),01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,01 Apr 2023
dabi | todoroki toya & midoriya izuku,01 Apr 2023
Bakugou Katsuki & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Nedzu,01 Apr 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,01 Apr 2023
Midoriya Izuku/Shinsou Hitoshi,01 Apr 2023
Midoriya Izuku & Todoroki Shouto,01 Apr 2023
Midoriya Izuku & Toga Himiko,01 Apr 2023
Midoriya Izuku & Monoma Neito,01 Apr 2023
Eri & Toga Himiko,01 Apr 2023
Midoriya Izuku/Monoma Neito,01 Apr 2023
Chisaki Kai | Overhaul & Midoriya Izuku,01 Apr 2023
Midoriya Izuku & Yotsubashi Rikiya | Re-Destro,01 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,01 Apr 2023
Todoroki Shouto/Reader,01 Apr 2023
Todoroki Shouto & Reader,01 Apr 2023
,01 Apr 2023
Midoriya Izuku/Yaoyorozu Momo,01 Apr 2023
Midoriya Izuku/Shirogane Naoto,01 Apr 2023
Midoriya Izuku/Tsugumi Seishirou,01 Apr 2023
Jirou Kyouka/Midoriya Izuku,01 Apr 2023
Midoriya Izuku/Tokage Setsuna,01 Apr 2023
,01 Apr 2023
Bakugou Katsuki/Kirishima Eijirou,01 Apr 2023
Sero Hanta & Original Nonbinary Character(s),01 Apr 2023
Sakamata Kuugo | Gang Orca & Original Nonbinary Character(s),01 Apr 2023
Midoriya Izuku/Todoroki Shouto,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,01 Apr 2023
Midoriya Hisashi & Midoriya Inko,01 Apr 2023
Sensei | All For One & Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,01 Apr 2023
Midoriya Inko/Sensei | All For One,01 Apr 2023
Dabi | Todoroki Touya/Takami Keigo | Hawks,01 Apr 2023
Shigaraki Tomura | Shimura Tenko/Todoroki Natsuo,01 Apr 2023
Toga Himiko/Uraraka Ochako,01 Apr 2023
Bakugou Katsuki/Midoriya Izuku,01 Apr 2023
Bakugou Katsuki/Midoriya Izuku,01 Apr 2023
Bakugou Masaru/Bakugou Mitsuki,01 Apr 2023
Midoriya Hisashi/Midoriya Inko,01 Apr 2023
Midoriya Izuku/Toga Himiko,01 Apr 2023
Todoroki Shouto/Original Female Character(s),01 Apr 2023
Bakugou Katsuki/Kaminari Denki,01 Apr 2023
Midoriya Izuku & Yagi Toshinori | All Might,01 Apr 2023
Midoriya Inko & Midoriya Izuku,01 Apr 2023
Iida Tenya & Midoriya Izuku,01 Apr 2023
Iida Tenya & Midoriya Izuku & Todoroki Shouto & Uraraka Ochako,01 Apr 2023
(mentioned) - Relationship,01 Apr 2023
,01 Apr 2023
,01 Apr 2023
,01 Apr 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
,30 Mar 2023
Midoriya Izuku/Yaoyorozu Momo,30 Mar 2023
Midoriya Hisashi & Midoriya Inko & Midoriya Izuku,30 Mar 2023
Midoriya Izuku & Original Male Character(s),30 Mar 2023
Midoriya Izuku & Yoarashi Inasa,30 Mar 2023
Chisaki Kai | Overhaul & Eri,30 Mar 2023
Chisaki Kai | Overhaul & Kurono Hari | Chronostasis,30 Mar 2023
No Romantic Relationship(s),30 Mar 2023
But there are platonic relationships mistaken for romantic relationships,30 Mar 2023
,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku,30 Mar 2023
Bakugou Masaru/Bakugou Mitsuki/Midoriya Inko,30 Mar 2023
,30 Mar 2023
Todoroki Enji | Endeavor/Yagi Toshinori | All Might,30 Mar 2023
Todoroki Enji | Endeavor & Yagi Toshinori | All Might,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku,30 Mar 2023
Bakugou Katsuki/Todoroki Shouto,30 Mar 2023
Midoriya Izuku/Todoroki Shouto,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto,30 Mar 2023
Class 1-A & Midoriya Izuku,30 Mar 2023
Minor or Background Relationship(s),30 Mar 2023
Kaminari Denki/Shinsou Hitoshi,30 Mar 2023
Dabi/Takami Keigo | Hawks,30 Mar 2023
Kirishima Eijirou/Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might,30 Mar 2023
Amajiki Tamaki/Toogata Mirio,30 Mar 2023
Kirishima Eijirou/Todoroki Shouto,30 Mar 2023
,30 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,30 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,30 Mar 2023
Shinsou Hitoshi & Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta & Nezu,30 Mar 2023
Bakugou Katsuki/Yaoyorozu Momo,30 Mar 2023
Bakugou Katsuki/Uraraka Ochako,30 Mar 2023
Midoriya Izuku/Uraraka Ochako,30 Mar 2023
Aizawa Shouta | Eraserhead & Midoriya Izuku,30 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,30 Mar 2023
Midoriya Izuku & Shinsou Hitoshi,30 Mar 2023
Midoriya Izuku/Shinsou Hitoshi,30 Mar 2023
Aizawa Shouta | Eraserhead & Dazai Osamu (Bungou Stray Dogs),30 Mar 2023
Dazai Osamu & Oda Sakunosuke (Bungou Stray Dogs),30 Mar 2023
Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs),30 Mar 2023
Class 1-A (My Hero Academia) & Dazai Osamu (Bungou Stray Dogs),30 Mar 2023
Bakugou Katsuki & Midoriya Izuku,30 Mar 2023
Bakugou Katsuki/Midoriya Izuku,30 Mar 2023
Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko,30 Mar 2023
Dabi | Todoroki Touya/Iguchi Shuuichi | Spinner,30 Mar 2023
Iguchi Shuuichi | Spinner/Shigaraki Tomura | Shimura Tenko,30 Mar 2023
Dabi | Todoroki Touya/Iguchi Shuuichi | Spinner/Shigaraki Tomura | Shimura Tenko,30 Mar 2023
,30 Mar 2023
Aizawa Shouta | Eraserhead & Original Character(s),30 Mar 2023
Class 1-A (My Hero Academia) & Original Character(s),30 Mar 2023
Shinsou Hitoshi & Original Character(s),30 Mar 2023
Yamada Hizashi | Present Mic & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Kayama Nemuri | Midnight & Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,30 Mar 2023
Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi,30 Mar 2023
Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic & Original Character(s),30 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi & Yamada Hizashi | Present Mic,30 Mar 2023
Shigaraki Tomura | Shimura Tenko & Original Character(s),30 Mar 2023
Kurogiri (My Hero Academia) & Original Character(s),30 Mar 2023
,28 Mar 2023
Kaminari Denki/Kirishima Eijirou,28 Mar 2023
Bakugou Katsuki/Kirishima Eijirou,28 Mar 2023
Bakugou Katsuki & Kirishima Eijirou,28 Mar 2023
OC & Katsuki Bakugo,28 Mar 2023
OC/Katsuki Bakugo,28 Mar 2023
OC & Shoto Todoroki,28 Mar 2023
OC/Shoto Todoroki,28 Mar 2023
Katsuki Bakugo/ Eijiro Kirishima,28 Mar 2023
Katsuki Bakugo & Eijiro Kirishima,28 Mar 2023
Izuku Midoriya & Ochaco Uraraka,28 Mar 2023
Izuku Midoriya/Ochaco Uraraka,28 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead & Bakugou Katsuki,28 Mar 2023
Aizawa Shouta | Eraserhead/Yagi Toshinori | All Might/Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,28 Mar 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,28 Mar 2023
Aizawa Shouta | Eraserhead & Class 1-A,28 Mar 2023
Aizawa Shouta | Eraserhead & Eri,28 Mar 2023
Bakugou Katsuki & Kirishima Eijirou,28 Mar 2023
Bakugou Katsuki & Kaminari Denki,28 Mar 2023
Bakugou Katsuki & Todoroki Shouto,28 Mar 2023
Bakugou Katsuki & Shinsou Hitoshi,28 Mar 2023
Bakugou Katsuki & Eri,28 Mar 2023
Ashido Mina & Bakugou Katsuki,28 Mar 2023
Bakugou Katsuki & Tokoyami Fumikage,28 Mar 2023
Bakugou Katsuki & Dark Shadow,28 Mar 2023
Bakugou Katsuki & Monoma Neito,28 Mar 2023
