names,dates
Kurogiri (My Hero Academia),17 Apr 2023
Sako Atsuhiro | Mr. Compress,17 Apr 2023
Bubaigawara Jin | Twice,17 Apr 2023
Iguchi Shuuichi | Spinner,17 Apr 2023
Home Depot Employee,17 Apr 2023
Rose/Ash Todoroki (OC),17 Apr 2023
Porcelain Doll/Sonette Miyaku/Sonette Shimura (OC),17 Apr 2023
Todoroki Rei/Frostbite,17 Apr 2023
Todoroki Enji | Endeavor,17 Apr 2023
Knife Flight,17 Apr 2023
Groundburst,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Todoroki Enji | Endeavor,17 Apr 2023
Todoroki Touya,17 Apr 2023
Todoroki Family (My Hero Academia),17 Apr 2023
Shigaraki Tomura | Shimura Tenko,17 Apr 2023
Yagi Toshinori | All Might,17 Apr 2023
And other characters I'll leave a surprise,17 Apr 2023
(main appearance season 3),17 Apr 2023
Todoroki Shouto,17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Midoriya Inko,17 Apr 2023
Bakugou Mitsuki,17 Apr 2023
Shiozaki Ibara,17 Apr 2023
Kendou Itsuka,17 Apr 2023
Dabi | Todoroki Touya,17 Apr 2023
Takami Keigo | Hawks,17 Apr 2023
Bubaigawara Jin | Twice,17 Apr 2023
Tokoyami Fumikage,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Kaminari Denki,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Yaoyorozu Momo,17 Apr 2023
Sero Hanta,17 Apr 2023
Shinsou Hitoshi,17 Apr 2023
Class 1-A (My Hero Academia),17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Yamada Hizashi | Present Mic,17 Apr 2023
Kayama Nemuri | Midnight,17 Apr 2023
Shirakumo Oboro,17 Apr 2023
Original Character,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Kayama Nemuri | Midnight,17 Apr 2023
Yamada Hizashi | Present Mic,17 Apr 2023
Maijima Higari | Power Loader,17 Apr 2023
Lunch-Rush (My Hero Academia),17 Apr 2023
Kan Sekijirou | Vlad King,17 Apr 2023
Ectoplasm (My Hero Academia),17 Apr 2023
Thirteen (My Hero Academia),17 Apr 2023
Midoriya Izuku,17 Apr 2023
Shinsou Hitoshi,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Yamada Hizashi | Present Mic,17 Apr 2023
Hatsume Mei,17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Kaminari Denki,17 Apr 2023
Uraraka Ochako,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Yamada Hizashi | Present Mic,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Shinsou Hitoshi,17 Apr 2023
Eri (My Hero Academia),17 Apr 2023
Midoriya Hisashi,17 Apr 2023
Toga Himiko,17 Apr 2023
Dabi | Todoroki Touya,17 Apr 2023
Takami Keigo | Hawks,17 Apr 2023
Dabi | Todoroki Touya,17 Apr 2023
Usagiyama Rumi | Miruko,17 Apr 2023
Cuphead (Cuphead),17 Apr 2023
Mugman (Cuphead),17 Apr 2023
Mario (Nintendo),17 Apr 2023
Luigi (Nintendo),17 Apr 2023
Donald Trump,17 Apr 2023
Barack Obama,17 Apr 2023
Joe Biden,17 Apr 2023
Adolf Hitler,17 Apr 2023
Bowser (Nintendo),17 Apr 2023
Biscuit Boy,17 Apr 2023
Border Bunny,17 Apr 2023
"Simon ""Ghost"" Riley",17 Apr 2023
"John ""Soap"" MacTavish",17 Apr 2023
König (Call of Duty),17 Apr 2023
Nonny (Bubble Guppies),17 Apr 2023
Gil (Bubble Guppies),17 Apr 2023
Goby (Bubble Guppies),17 Apr 2023
Mr. Grouper (Bubble Guppies),17 Apr 2023
Dancing Banana (Roblox: Shovelware's Brain Game),17 Apr 2023
Boardy the SMART Board (Roblox: Shovelware's Brain Game),17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Kirishima Eijirou,17 Apr 2023
Squidward Tentacles,17 Apr 2023
SpongeBob SquarePants,17 Apr 2023
Papyrus (Undertale),17 Apr 2023
Sans (Undertale),17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Kaminari Denki,17 Apr 2023
Ashido Mina,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Y/n - Character,17 Apr 2023
Reader,17 Apr 2023
Sero Hanta,17 Apr 2023
Kirishima Eijirou,17 Apr 2023
Uraraka Ochako,17 Apr 2023
League of Villains (My Hero Academia),17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Kirishima Eijirou,17 Apr 2023
Ashido Mina,17 Apr 2023
Uraraka Ochako,17 Apr 2023
Iida Tenya,17 Apr 2023
Jirou Kyouka,17 Apr 2023
Sero Hanta,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Shinsou Hitoshi,17 Apr 2023
Kaminari Denki,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Yagi Toshinori | All Might,17 Apr 2023
Past One For All Users (My Hero Academia),17 Apr 2023
Class 1-A (My Hero Academia),17 Apr 2023
Bakugou Katsuki's Parents,17 Apr 2023
Nedzu (My Hero Academia),17 Apr 2023
,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Yaoyorozu Momo,17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Iida Tenya,17 Apr 2023
Uraraka Ochako,17 Apr 2023
Chisaki Kai | Overhaul,17 Apr 2023
Kirishima Eijirou,17 Apr 2023
Kaminari Denki,17 Apr 2023
Jirou Kyouka,17 Apr 2023
Ashido Mina,17 Apr 2023
Other Character Tags to Be Added,17 Apr 2023
Tokoyami Fumikage,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Aizawa Shouta | Eraserhead,17 Apr 2023
Yamada Hizashi | Present Mic,17 Apr 2023
Todoroki Shouto,17 Apr 2023
Shinsou Hitoshi,17 Apr 2023
Bakugou Katsuki,17 Apr 2023
Kaminari Denki,17 Apr 2023
Class 1-A (My Hero Academia),17 Apr 2023
Monoma Neito,17 Apr 2023
Yagi Toshinori | All Might,17 Apr 2023
Kayama Nemuri | Midnight,17 Apr 2023
Nedzu (My Hero Academia),17 Apr 2023
Shuuzenji Chiyo | Recovery Girl,17 Apr 2023
Tsukauchi Naomasa,17 Apr 2023
Bakugou Mitsuki,17 Apr 2023
Bakugou Masaru,17 Apr 2023
Midoriya Izuku,17 Apr 2023
Uraraka Ochako,17 Apr 2023
Midoriya Inko,17 Apr 2023
Bakugou Katsuki,16 Apr 2023
Original Characters,16 Apr 2023
Aizawa Shouta | Eraserhead,16 Apr 2023
Original Child Character(s),16 Apr 2023
Original Baby Character(s) - Character,16 Apr 2023
Yamada Hizashi | Present Mic,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Bakugou Mitsuki,16 Apr 2023
Tsukauchi Naomasa,16 Apr 2023
Nedzu (My Hero Academia),16 Apr 2023
Class 1-A (My Hero Academia),16 Apr 2023
Dabi | Todoroki Touya,16 Apr 2023
Shigaraki Tomura | Shimura Tenko,16 Apr 2023
Kurono Hari | Chronostasis,16 Apr 2023
Chisaki Kai | Overhaul,16 Apr 2023
Ensemble Cast - Character,16 Apr 2023
Shigaraki Tomura | Shimura Tenko,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Todoroki Shouto,16 Apr 2023
Aizawa Shouta | Eraserhead,16 Apr 2023
Dabi | Todoroki Touya,16 Apr 2023
Todoroki Fuyumi,16 Apr 2023
Tatsuma Ryuuko | Ryuukyuu,16 Apr 2023
Todoroki Enji | Endeavor,16 Apr 2023
Todoroki Rei,16 Apr 2023
Usagiyama Rumi | Miruko,16 Apr 2023
Kamiji Moe | Burnin,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Past One For All Users (My Hero Academia),16 Apr 2023
Ruby Rose (RWBY),16 Apr 2023
Yang Xiao Long,16 Apr 2023
Blake Belladonna,16 Apr 2023
Weiss Schnee,16 Apr 2023
Jaune Arc,16 Apr 2023
Pyrrha Nikos,16 Apr 2023
Nora Valkyrie,16 Apr 2023
Lie Ren,16 Apr 2023
Ozpin (RWBY),16 Apr 2023
Glynda Goodwitch,16 Apr 2023
Team RWBY,16 Apr 2023
Team JNPR,16 Apr 2023
Neopolitan (RWBY),16 Apr 2023
Toga Himiko,16 Apr 2023
Kurogiri (My Hero Academia),16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Uraraka Ochako,16 Apr 2023
Todoroki Shouto,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Kaminari Denki,16 Apr 2023
Sero Hanta,16 Apr 2023
Ashido Mina,16 Apr 2023
Shindou You,16 Apr 2023
Todoroki Enji | Endeavor,16 Apr 2023
Midoriya Inko,16 Apr 2023
Toga Himiko,16 Apr 2023
Yagi Toshinori | All Might,16 Apr 2023
Todoroki Fuyumi,16 Apr 2023
Iida Tenya,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Original Characters,16 Apr 2023
Shigaraki Tomura | Shimura Tenko,16 Apr 2023
Reader,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Uraraka Ochako,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Ashido Mina,16 Apr 2023
Kaminari Denki,16 Apr 2023
Sero Hanta,16 Apr 2023
Iida Tenya,16 Apr 2023
Asui Tsuyu,16 Apr 2023
Jirou Kyouka,16 Apr 2023
Shinsou Hitoshi,16 Apr 2023
Todoroki Shouto,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Midoriya Inko,16 Apr 2023
Dabi | Todoroki Touya,16 Apr 2023
Shigaraki Tomura | Shimura Tenko,16 Apr 2023
Toga Himiko,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Other Character Tags to Be Added,16 Apr 2023
Ashido Mina,16 Apr 2023
Akira ashido,16 Apr 2023
Original Characters,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Female Reader - Character,16 Apr 2023
Original Male Character(s),16 Apr 2023
Original Female Character(s),16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Jirou Kyouka,16 Apr 2023
Kaminari Denki,16 Apr 2023
Ashido Mina,16 Apr 2023
Class 1-A (My Hero Academia),16 Apr 2023
Yaoyorozu Momo,16 Apr 2023
Tokoyami Fumikage,16 Apr 2023
Todoroki Shouto,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Original Male Character(s),16 Apr 2023
Original Male Character(s) of Color,16 Apr 2023
Yagi Toshinori | All Might,16 Apr 2023
Shigaraki Tomura | Shimura Tenko,16 Apr 2023
Dabi | Todoroki Touya,16 Apr 2023
Toga Himiko,16 Apr 2023
Bubaigawara Jin | Twice,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Uraraka Ochako,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Tokoyami Fumikage,16 Apr 2023
Kirishima Eijirou,16 Apr 2023
Ashido Mina,16 Apr 2023
Kaminari Denki,16 Apr 2023
Asui Tsuyu,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Bakugou Katsuki,16 Apr 2023
Midoriya Izuku,16 Apr 2023
Shinsou Hitoshi,16 Apr 2023
League of Villains (My Hero Academia),16 Apr 2023
Class 1-A (My Hero Academia),16 Apr 2023
Midoriya Izuku,16 Apr 2023
Aizawa Shouta | Eraserhead,16 Apr 2023
Tsukauchi Naomasa,16 Apr 2023
Original Characters,16 Apr 2023
Nedzu (My Hero Academia),16 Apr 2023
Yagi Toshinori | All Might,16 Apr 2023
Midoriya Izuku,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Kurogiri (My Hero Academia),15 Apr 2023
Sensei | All For One,15 Apr 2023
Midoriya Inko (mentioned),15 Apr 2023
Bakugou Katsuki (mentioned),15 Apr 2023
Yagi Toshinori | All Might (Mentioned),15 Apr 2023
Garaki Kyuudai | Ujiko Daruma (Mentioned),15 Apr 2023
Midoriya Izuku,15 Apr 2023
Asui Tsuyu,15 Apr 2023
Iida Tenya,15 Apr 2023
Iida Tensei | Ingenium,15 Apr 2023
Todoroki Shouto,15 Apr 2023
Uraraka Ochako,15 Apr 2023
Sasaki Mirai | Sir Nighteye,15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Kayama Nemuri | Midnight,15 Apr 2023
Nedzu (My Hero Academia),15 Apr 2023
Takagi Ken | Rock Lock,15 Apr 2023
Sensei | All For One,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Tsukauchi Naomasa,15 Apr 2023
Todoroki Enji | Endeavor,15 Apr 2023
Toyomitsu Taishirou | Fat Gum,15 Apr 2023
Yamada Hizashi | Present Mic,15 Apr 2023
Original Characters,15 Apr 2023
Midoriya Izuku,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Kurogiri (My Hero Academia),15 Apr 2023
Sensei | All For One,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Shuuzenji Chiyo | Recovery Girl,15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Tachihara Michizou (Bungou Stray Dogs),15 Apr 2023
Black Lizard Ensemble (Bungou Stray Dogs),15 Apr 2023
Hunting Dogs Ensemble (Bungou Stray Dogs),15 Apr 2023
Mori Ougai (Bungou Stray Dogs),15 Apr 2023
Ookura Teruko (Bungou Stray Dogs),15 Apr 2023
Nedzu (My Hero Academia),15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Class 1-B (My Hero Academia),15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Takami Keigo | Hawks,15 Apr 2023
Monoma Neito,15 Apr 2023
Dabi | Todoroki Touya,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Todoroki Shouto,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
League of Villains (My Hero Academia),15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Takami Keigo | Hawks,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Toga Himiko,15 Apr 2023
Bubaigawara Jin | Twice,15 Apr 2023
Original Child Character(s),15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
Midoriya Izuku,15 Apr 2023
Midoriya Inko,15 Apr 2023
Midoriya Hisashi,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Billy Batson,15 Apr 2023
Tsukauchi Naomasa,15 Apr 2023
Midoriya Izuku,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Kirishima Eijirou,15 Apr 2023
Iida Tenya,15 Apr 2023
Todoroki Shouto,15 Apr 2023
Ashido Mina,15 Apr 2023
Uraraka Ochako,15 Apr 2023
Kaminari Denki,15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
Asui Tsuyu,15 Apr 2023
Sero Hanta,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Sensei | All For One,15 Apr 2023
League of Villains (My Hero Academia),15 Apr 2023
Bakugou Mitsuki,15 Apr 2023
Midoriya Inko,15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Nedzu (My Hero Academia),15 Apr 2023
Midoriya Izuku,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
Original Male Character(s),15 Apr 2023
Shuuzenji Chiyo | Recovery Girl,15 Apr 2023
League of Villains (My Hero Academia),15 Apr 2023
Sensei | All For One,15 Apr 2023
Tsukauchi Naomasa,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Chisaki Kai | Overhaul,15 Apr 2023
Eri (My Hero Academia),15 Apr 2023
Todoroki Shouto,15 Apr 2023
Uraraka Ochako,15 Apr 2023
Iida Tenya,15 Apr 2023
Kirishima Eijirou,15 Apr 2023
Kaminari Denki,15 Apr 2023
Ashido Mina,15 Apr 2023
Eri (My Hero Academia),15 Apr 2023
Midoriya Izuku,15 Apr 2023
Midoriya Inko,15 Apr 2023
Other Character Tags to Be Added,15 Apr 2023
Original Characters,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Bakugou Mitsuki,15 Apr 2023
Class 1-B (My Hero Academia),15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Kendou Itsuka,15 Apr 2023
Monoma Neito,15 Apr 2023
Tetsutetsu Tetsutetsu,15 Apr 2023
Tsunotori Pony,15 Apr 2023
Rin Hiryuu,15 Apr 2023
Fukidashi Manga,15 Apr 2023
Tsuburaba Kousei,15 Apr 2023
Yanagi Reiko,15 Apr 2023
Shouda Nirengeki,15 Apr 2023
Awase Yousetsu,15 Apr 2023
Kodai Yui,15 Apr 2023
Bondo Kojirou,15 Apr 2023
Honenuki Juuzou,15 Apr 2023
Shiozaki Ibara,15 Apr 2023
Shishida Juurouta,15 Apr 2023
Kaibara Sen,15 Apr 2023
Kamakiri Togaru,15 Apr 2023
Komori Kinoko,15 Apr 2023
Kuroiro Shihai,15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Yamada Hizashi | Present Mic,15 Apr 2023
Nezu,15 Apr 2023
Kan Sekijirou | Vlad King,15 Apr 2023
U.A. Faculty (My Hero Academia),15 Apr 2023
U.A. Students (My Hero Academia),15 Apr 2023
Original Characters,15 Apr 2023
Uraraka Ochako,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Midoriya Izuku,15 Apr 2023
Ashido Mina,15 Apr 2023
Kirishima Eijirou,15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Class 1-B (My Hero Academia),15 Apr 2023
Midoriya Izuku,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Rebecca Bluegarden,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Midoriya Inko,15 Apr 2023
Iida Tenya,15 Apr 2023
Uraraka Ochako,15 Apr 2023
Weisz Steiner,15 Apr 2023
Homura Kogetsu,15 Apr 2023
Jirou Kyouka,15 Apr 2023
Mineta Minoru,15 Apr 2023
Ojiro Mashirao,15 Apr 2023
Yamada Hizashi | Present Mic,15 Apr 2023
Witch Regret (Edens Zero),15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Sister Ivry (Edens Zero),15 Apr 2023
Yaoyorozu Momo,15 Apr 2023
Hermit Mio (Edens Zero),15 Apr 2023
Valkyrie Yuna,15 Apr 2023
Kaminari Denki,15 Apr 2023
Kirishima Eijirou,15 Apr 2023
Ashido Mina,15 Apr 2023
Sero Hanta,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Noumu (My Hero Academia),15 Apr 2023
Sibir,15 Apr 2023
Kurogiri (My Hero Academia),15 Apr 2023
Thirteen (My Hero Academia),15 Apr 2023
Muller,15 Apr 2023
Drakken Joe,15 Apr 2023
Justice (Edens Zero),15 Apr 2023
Elsie Crimson,15 Apr 2023
Victory (Edens Zero),15 Apr 2023
Creed (Edens Zero),15 Apr 2023
Death Arms (My Hero Academia),15 Apr 2023
Nishiya Shinji | Kamui Woods,15 Apr 2023
Takeyama Yuu | Mount Lady,15 Apr 2023
Kris Rutherford,15 Apr 2023
Kleene Rutherford,15 Apr 2023
Laguna Husert,15 Apr 2023
Maria Slime (Edens Zero),15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
Class 1-B (My Hero Academia),15 Apr 2023
Class 1-A (My Hero Academia),15 Apr 2023
Jamilov (Edens Zero),15 Apr 2023
Seth Anderson (Edens Zero),15 Apr 2023
Diego Reyes (Edens Zero),15 Apr 2023
Fie (Edens Zero),15 Apr 2023
Daichi (Edens Zero),15 Apr 2023
Jaguar (Edens Zero),15 Apr 2023
Eraser (Edens Zero),15 Apr 2023
Holy (Edens Zero),15 Apr 2023
Gran Torino (My Hero Academia),15 Apr 2023
Usagiyama Rumi | Miruko,15 Apr 2023
Yagi Toshinori | All Might,15 Apr 2023
Shigaraki Tomura | Shimura Tenko,15 Apr 2023
Midoriya Izuku,15 Apr 2023
Kirishima Eijirou,15 Apr 2023
Gran Torino (My Hero Academia),15 Apr 2023
Sasaki Mirai | Sir Nighteye,15 Apr 2023
Bakugou Katsuki,15 Apr 2023
Dabi (My Hero Academia),15 Apr 2023
Toogata Mirio,15 Apr 2023
Aizawa Shouta | Eraserhead,15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
Eri (My Hero Academia),15 Apr 2023
Yamada Hizashi | Present Mic,15 Apr 2023
Shinsou Hitoshi,15 Apr 2023
